State,Total Cases,Total Deaths,Total Recovered
Diamond Princess,45,0,0
"Wuhan, China",3,1,0
Arizona,2,0,1
California,24,0,2
Florida,2,0,0
Georgia,2,0,0
Illinois,4,0,2
Massachusetts,2,0,0
New Hampshire,2,0,0
New York,2,0,0
North Carolina,1,0,0
Oregon,3,0,0
Rhode Island,2,0,0
Washington,24,7,1
Texas,1,0,0
Wisconsin,1,0,0
Total,120,8,6
